#FORMAT IS : NAME_OF_TOWER_UPGRADE_NUMBER_LVL|LEFT_OF_THE_TEXTURE|TOP_OF_THE_TEXTURE|WIDTH_OF_THE_TEXTURE|HEIGHT_OF_THE_TEXTURE|RANGE|DAMAGE|ATTACK_SPEED|LEFT_OF_THE_AVATAR|TOP_OF_THE_AVATAR|WIDTH_OF_THE_AVATAR|HEIGHT_OF_THE_AVATAR| ; TWO UPGRADES FOR ONE TOWER WITH 4 LVLS.
DART_MONKEY|0|0|111|114|124|1|54|0|0|300|300|0|0|200|200|800|0|200|200|170|
NINJA_MONKEY_UPGRADE_1_2|253|0|112|112|248|1|120|600|600|300|300|
NINJA_MONKEY_UPGRADE_1_3|253|0|112|112|248|1|120|900|600|300|300|
NINJA_MONKEY_UPGRADE_1_4|253|0|112|112|248|1|150|1200|600|300|300|
NINJA_MONKEY_UPGRADE_2_1|253|0|112|112|149|1|98|1500|600|300|300|
NINJA_MONKEY_UPGRADE_2_2|253|0|112|112|149|1|98|1800|600|300|300|
NINJA_MONKEY_UPGRADE_2_3|253|0|112|112|149|1|98|2100|600|300|300|
NINJA_MONKEY_UPGRADE_2_4|253|0|112|112|149|1|98|2400|600|300|300|
BOMB_SHOOTER|366|0|112|123|156|1|38|0|900|300|300|0|600|200|200|800|600|200|200|445|
BOMB_SHOOTER_UPGRADE_1_1|366|0|112|123|214|1|38|300|900|300|300|
BOMB_SHOOTER_UPGRADE_1_2|366|0|112|123|214|1|38|600|900|300|300|
BOMB_SHOOTER_UPGRADE_1_3|366|0|112|123|214|1|38|900|900|300|300|
BOMB_SHOOTER_UPGRADE_1_4|366|0|112|123|214|1|38|1200|900|300|300|
BOMB_SHOOTER_UPGRADE_2_1|366|0|112|123|156|1|38|1500|900|300|300|
BOMB_SHOOTER_UPGRADE_2_2|366|0|112|123|156|1|42|1800|900|300|300|
BOMB_SHOOTER_UPGRADE_2_3|366|0|112|123|156|1|42|2100|900|300|300|
BOMB_SHOOTER_UPGRADE_2_4|366|0|112|123|156|1|46|2400|900|300|300|
ICE_MONKEY|530|0|103|113|75|0|18|0|1200|300|300|0|800|200|200|800|800|200|200|425|
ICE_MONKEY_UPGRADE_1_1|530|0|103|113|94|0|22|300|1200|300|300|
ICE_MONKEY_UPGRADE_1_2|530|0|103|113|94|1|22|600|1200|300|300|
ICE_MONKEY_UPGRADE_1_3|530|0|103|113|143|1|24|900|1200|300|300|
ICE_MONKEY_UPGRADE_1_4|530|0|103|113|???|1|24|1200|1200|300|300|
ICE_MONKEY_UPGRADE_2_1|530|0|103|113|75|1|24|1500|1200|300|300|
ICE_MONKEY_UPGRADE_2_2|530|0|103|113|75|1|24|1800|1200|300|300|
ICE_MONKEY_UPGRADE_2_3|530|0|103|113|75|1|24|2100|1200|300|300|
ICE_MONKEY_UPGRADE_2_4|530|0|103|113|75|1|24|2400|1200|300|300|
GLUE_GUNNER|639|0|109|152|172|1|58|0|1500|300|300|0|1000|200|200|800|1000|200|200|235|
GLUE_GUNNER_UPGRADE_1_1|639|0|109|152|172|1|58|300|1500|300|300|
GLUE_GUNNER_UPGRADE_1_2|639|0|109|152|172|1|58|600|1500|300|300|
GLUE_GUNNER_UPGRADE_1_3|639|0|109|152|172|1|58|900|1500|300|300|
GLUE_GUNNER_UPGRADE_1_4|639|0|109|152|172|1|58|1200|1500|300|300|
GLUE_GUNNER_UPGRADE_2_1|639|0|109|152|172|1|58|1500|1500|300|300|
GLUE_GUNNER_UPGRADE_2_2|639|0|109|152|172|1|58|1800|1500|300|300|
GLUE_GUNNER_UPGRADE_2_3|639|0|109|152|172|1|155|2100|1500|300|300|
GLUE_GUNNER_UPGRADE_2_4|639|0|109|152|172|6|155|2400|1500|300|300|
SUPER_MONKEY|747|0|122|120|174|1|690|0|1800|300|300|0|1200|200|200|800|1200|200|200|2125|
SUPER_MONKEY_UPGRADE_1_1|747|0|122|120|174|1|690|300|1800|300|300|
SUPER_MONKEY_UPGRADE_1_2|747|0|122|120|174|1|690|600|1800|300|300|
SUPER_MONKEY_UPGRADE_1_3|747|0|122|120|174|1|690|900|1800|300|300|
SUPER_MONKEY_UPGRADE_1_4|747|0|122|120|174|1|690|1200|1800|300|300|
SUPER_MONKEY_UPGRADE_2_1|747|0|122|120|262|1|690|1500|1800|300|300|
SUPER_MONKEY_UPGRADE_2_2|747|0|122|120|298|1|690|1800|1800|300|300|
SUPER_MONKEY_UPGRADE_2_3|747|0|122|120|298|1|690|2100|1800|300|300|
SUPER_MONKEY_UPGRADE_2_4|747|0|122|120|298|1|690|2400|1800|300|300|
